,Parents,"mail des parents",enfants,"Allergies Alimentaire","Allergies Respiratoire","Allergie Cutanée ","Allergie piqure d'insecte","Regime alimentaire","Probleme de santé ",Sexe,"Allergie Medicamenteux","Mot de Passe"
1,"Jean Martin",jean.martin@enfantpro.fr,Gaston,Lactose,Aucun,Chlore,Aucun,Traditionnel,Aucun,Garcon,Aucun,jmg
2,"Marie Dupont",marie.dupont@enfantpro.fr,Lilou,Aucun,Aucun,Aucun,"Aucun ",Traditionnel,Aucun,Fille,Aucun,mdl
3,"Mohamed ElKhari",mohamed.elkhari@enfantpro.fr,Yanis,Aucun,Pollens,Aucun,Aucun,Halal,Aucun,Garcon,Aucun,mey
4,"Moussa Diallo",moussa.diallo@enfantpro.fr,Sekou,Aucun,"Poile de Chat",Ambroisie,Aucun,Halal,Hemophile,Garcon,Ibuprophene,mdi
5,"Christine Bernard",christine.bernard@enfantpro.fr,Timeo,"Fruit de mer",Aucun,Horties,Aucun,Traditionnel,Aucun,Garcon,"Aucun ",cbt
6,"Lucas Henri",lucas.henri@enfantpro.fr,Jules,Arachide,Aucun,Ronce,Aucun,Traditionnel,Aucun,Garcon,Aucun,lhj
7,"Eddy Delabriere",eddy.delabriere@enfantpro.fr,Quentin,Aucun,"Poils de Chien",Aucun,Guepe/Frelon,Traditionnel,Aucun,Garcon,Corticoide,edq
8,"Emilie Lefevre",emilie.lefevre@enfantpro.fr,Leo,Aucun,"Poils de Hamster",Aucun,Araignée,Vegetarien,Aucun,Garcon,Amoxiciline,ell
9,"Lucas Roux",lucas.roux@enfantpro.fr,Enzo,Sacharrose,Aspergillum,Aucun,"Fourmi rouge",Kasher,Diabete,Garcon,Aucun,lre
10,"Jimmy Gomez",jimmy.gomez@enfantpro.fr,Charles,Fructose,Aucun,Aucun,Aucun,Traditionnel,Diabete,Garcon,Aucun,jgc
11,"Maxime Girard",maxime.girard@enfantpro.fr,Elie,Lactose,Aucun,Javel,Aucun,Kasher,Aucun,Fille,Aucun,mge
12,"Frederic Reveillere",frederic.reveillere@enfantpro.fr,Melissa,Aucun,Aucun,Aucun,Moustique,Traditionnel,Aucun,Fille,Ibuprophene,frm
13,"Richard Boutoux",richard.boutoux@enfantpro.fr,Nadia,Aucun,Aucun,Aucun,Aucun,Aucun,Aucun,Fille,Aucun,rbn
14,"Jean Bosco Frevolet",jeanbosco.frevolet@enfantpro.fr,Ines,Aucun,"Poils de chat","Aloe Verra",Aucun,Traditionnel,"Trouble de la vue",Fille,Aucun,jfi
15,"Victor Robert",victor.robert@enfantpro.fr,Victoire,Arachide,Aucun,"Aucun ",Punaise,Aucun,Aucun,Fille,Aucun,vrv
16,"Melanie Gasque",melanie.gasque@enfantpro.fr,James,Gluten,Aucun,Aucun,"Pince Oreille",Traditionnel,Aucun,Garcon,Aucun,mgj
17,"Maria Dolores",maria.dolores@enfantpro.fr,Diego,Legumineuse,"Fumée de cigarette",Aucun,Guepe,Traditionnel,Asmathique,Garcon,Aucun,mdd
18,"Thomas Champion",thomas.champion@enfantpro.fr,Gauthier,Aucun,Aucun,Aucun,Aucun,Traditionnel,Aucun,Garcon,Aucun,tcg
19,"Nicolas Verinski ",nicolas.verinski@enfantpro.fr,Julie,Aucun,Aucun,"Tulipe ",Aucun,Traditionnel,Aucun,Fille,Corticoide,nvj
20,"Vladimir Deripaska",vladimir.deripaska@enfantpro.fr,Alina,Aucun,"Poils de chien",Romarin,Aucun,Traditionnel,Aucun,Fille,Aucun,vda
